"-","-"
"-","-"
"*","cuanto"
"*","debo"
"*","pagar"
"*","si"
"*","invadir"
"a","paso"
"a","peatonal"
"-","-"
"-","-"
"*","cuanto"
"*","debo"
"*","pagar"
"*","si"
"*","meterme"
"*","al"
"a","paso"
"a","peatonal"
"-","-"
"-","-"
"*","cuanto"
"*","debo"
"*","pagar"
"*","si"
"*","pase"
"b","alto"
"-","-"
"-","-"
"*","cuanto"
"*","debo"
"*","pagar"
"*","si"
"*","ignorar"
"b","luza"
"b","roja"
"-","-"
"-","-"
"*","cuanto"
"*","debo"
"*","pagar"
"*","si"
"*","dar"
"*","una"
"c","vuelta"
"c","prohibida"
"-","-"
"-","-"
"*","cuanto"
"*","debo"
"*","pagar"
"*","si"
"*","di"
"c","vuelta"
"c","prohibida"
"-","-"
"-","-"
"*","cuanto"
"*","debo"
"*","pagar"
"*","si"
"*","no"
"*","traigo"
"d","cinturon"
"*","de"
"d","seguridad"
"-","-"
"-","-"
"*","cuanto"
"*","debo"
"*","pagar"
"*","si"
"*","no"
"*","traer"
"d","cinturon"
"*","de"
"d","seguridad"
"-","-"
"-","-"
"*","cuanto"
"*","debo"
"*","pagar"
"*","si"
"*","estar"
"*","el"
"a","paso"
"a","peatonal"
"-","-"
"-","-"
"*","cual"
"*","es"
"*","la"
"*","multa"
"*","por"
"*","invadir"
"a","paso"
"a","peatonal"
"-","-"
"-","-"
"*","cual"
"*","es"
"*","la"
"*","multa"
"*","por"
"*","meterme"
"*","al"
"a","paso"
"a","peatonal"
"-","-"
"-","-"
"*","cual"
"*","es"
"*","la"
"*","multa"
"*","por"
"*","pase"
"b","alto"
"-","-"
"-","-"
"*","cual"
"*","es"
"*","la"
"*","multa"
"*","por"
"*","ignorar"
"b","luza"
"b","roja"
"-","-"
"-","-"
"*","cual"
"*","es"
"*","la"
"*","multa"
"*","por"
"*","dar"
"*","una"
"c","vuelta"
"c","prohibida"
"-","-"
"-","-"
"*","cual"
"*","es"
"*","la"
"*","multa"
"*","por"
"*","di"
"c","vuelta"
"c","prohibida"
"-","-"
"-","-"
"*","cual"
"*","es"
"*","la"
"*","multa"
"*","por"
"*","no"
"*","traigo"
"d","cinturon"
"*","de"
"d","seguridad"
"-","-"
"-","-"
"*","cual"
"*","es"
"*","la"
"*","multa"
"*","por"
"*","no"
"*","traer"
"d","cinturon"
"*","de"
"d","seguridad"
"-","-"
"-","-"
"*","cual"
"*","es"
"*","la"
"*","multa"
"*","por"
"*","estar"
"*","el"
"a","paso"
"a","peatonal"
"-","-"
"-","-"
"*","que"
"*","pasa"
"*","si"
"*","#repalce"
"-","-"
"-","-"
"*","que"
"*","pasa"
"*","si"
"*","#repalce"
"-","-"
"-","-"
"*","que"
"*","pasa"
"*","si"
"*","#repalce"
"-","-"
"-","-"
"*","que"
"*","pasa"
"*","si"
"*","#repalce"
"-","-"
"-","-"
"*","que"
"*","pasa"
"*","si"
"*","#repalce"
"-","-"
"-","-"
"*","que"
"*","pasa"
"*","si"
"*","#repalce"
"-","-"
"-","-"
"*","que"
"*","pasa"
"*","si"
"*","#repalce"
"-","-"
"-","-"
"*","que"
"*","pasa"
"*","si"
"*","#repalce"
"-","-"
